Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MAST2		2	2	52	3.8%	No
CIZ1		1	1	52	1.9%	No
MPV17L		1	1	52	1.9%	No
RAD54L2		1	1	52	1.9%	No
PPP1R3F		1	1	52	1.9%	No
LDB3		1	1	52	1.9%	No
LUZP4		1	1	52	1.9%	No
ACTB		2	2	52	3.8%	Yes
THAP10		1	1	52	1.9%	No
DOCK7		1	1	52	1.9%	No
BTN2A1		1	1	52	1.9%	No
ABCE1		1	1	52	1.9%	No
IQUB		1	1	52	1.9%	No
DMKN		1	1	52	1.9%	No
ZNF474		1	1	52	1.9%	No
CLASRP		2	2	52	3.8%	No
STARD7		1	1	52	1.9%	No
EXOSC5		1	1	52	1.9%	No
ELOA2		1	1	52	1.9%	No
MEIS3		2	2	52	3.8%	No
HIC2		1	1	52	1.9%	No
USH2A		3	3	52	5.8%	No
NFASC		1	1	52	1.9%	No
PCMTD1		1	1	52	1.9%	No
ACTN4		1	1	52	1.9%	No
GPR108		1	1	52	1.9%	No
USP42		1	1	52	1.9%	No
FBXO17		1	1	52	1.9%	No
SLC7A9		1	1	52	1.9%	No
ANKRD39		1	1	52	1.9%	No
FHDC1		1	1	52	1.9%	No
TBC1D8		2	2	52	3.8%	No
MTMR6		2	2	52	3.8%	No
SGSM1		1	1	52	1.9%	No
SERPINA11		1	1	52	1.9%	No
PTCHD3		1	1	52	1.9%	No
TDRD9		2	2	52	3.8%	No
ZNF721		1	1	52	1.9%	No
FBXO3		1	1	52	1.9%	No
C19ORF12		1	1	52	1.9%	No
ZNF304		1	1	52	1.9%	No
SACS		1	1	52	1.9%	No
ACVR1B		1	1	52	1.9%	Yes
ACVRL1		1	1	52	1.9%	No
RSPH4A		1	1	52	1.9%	No
GPR148		1	1	52	1.9%	No
DOCK8-AS1		1	1	52	1.9%	No
KIF5C		1	1	52	1.9%	No
PRPF4		1	1	52	1.9%	No
ROBO1		2	2	52	3.8%	Yes
FBXW8		1	1	52	1.9%	No
ROCK1		1	1	52	1.9%	No
FAM167A-AS1		1	1	52	1.9%	No
CEP19		1	1	52	1.9%	No
BMPER		1	1	52	1.9%	No
CABYR		1	1	52	1.9%	No
FAM83A		1	1	52	1.9%	No
CCDC168		1	1	52	1.9%	No
RABEP1		2	2	52	3.8%	Yes
CBFA2T2		1	1	52	1.9%	No
ARHGEF1		1	1	52	1.9%	No
FBXO24		1	1	52	1.9%	No
DISP1		1	1	52	1.9%	No
SLC13A4		1	1	52	1.9%	No
KLRC3		1	1	52	1.9%	No
KLRD1		1	1	52	1.9%	No
SMYD4		1	1	52	1.9%	No
FHAD1		1	1	52	1.9%	No
ZBED9		1	1	52	1.9%	No
MRS2		1	1	52	1.9%	No
PWWP2A		1	1	52	1.9%	No
KPNA3		1	1	52	1.9%	No
VSTM1		1	1	52	1.9%	No
KIF11		1	1	52	1.9%	No
KIFC1		1	1	52	1.9%	No
SORCS1		1	1	52	1.9%	No
EXO1		2	2	52	3.8%	No
CROCCP3		1	1	52	1.9%	No
GPR142		1	1	52	1.9%	No
KLHL3		1	1	52	1.9%	No
MSANTD3		1	1	52	1.9%	No
KRT2		1	1	52	1.9%	No
ZFP82		1	1	52	1.9%	No
PARP9		1	1	52	1.9%	No
IPO5		1	1	52	1.9%	No
WASHC2A		1	1	52	1.9%	No
CCDC85A		3	2	52	3.8%	No
DIP2A		2	2	52	3.8%	No
COLEC12		1	1	52	1.9%	No
PHLDB1		2	1	52	1.9%	No
CLPTM1L		1	1	52	1.9%	No
KCNH6		1	1	52	1.9%	No
KRT8		1	1	52	1.9%	No
KRT9		1	1	52	1.9%	No
CCDC172		1	1	52	1.9%	No
MYOM2		1	1	52	1.9%	No
MAGI3		1	1	52	1.9%	No
MDN1		3	2	52	3.8%	No
FAF2		1	1	52	1.9%	No
PRAMEF2		1	1	52	1.9%	No
IGSF10		3	3	52	5.8%	No
GABBR1		1	1	52	1.9%	No
HES3		1	1	52	1.9%	No
ARHGEF2		1	1	52	1.9%	No
PLEKHA6		1	1	52	1.9%	No
PRAMEF12		1	1	52	1.9%	No
INPP5F		1	1	52	1.9%	No
SERPINA7		1	1	52	1.9%	No
XRCC6		1	1	52	1.9%	No
KRT20		1	1	52	1.9%	No
NLGN4X		2	2	52	3.8%	No
TBP		1	1	52	1.9%	No
TBL1X		1	1	52	1.9%	No
ZFHX4		6	6	52	11.5%	No
CNTN2		1	1	52	1.9%	No
MALT1		1	1	52	1.9%	Yes
PRSS58		1	1	52	1.9%	No
ZNF608		1	1	52	1.9%	No
GAB1		1	1	52	1.9%	Yes
TBCC		1	1	52	1.9%	No
INTS2		1	1	52	1.9%	No
CCDC74B		1	1	52	1.9%	No
KRT84		1	1	52	1.9%	No
GABRB3		1	1	52	1.9%	No
ZHX2		2	1	52	1.9%	No
ABLIM3		1	1	52	1.9%	No
FOXJ3		1	1	52	1.9%	No
GABRA6		1	1	52	1.9%	Yes
DBX2		1	1	52	1.9%	No
ARHGAP31		2	2	52	3.8%	No
GABRA3		1	1	52	1.9%	No
SERINC1		1	1	52	1.9%	No
KRT83		1	1	52	1.9%	No
STARD9		4	4	52	7.7%	No
SLC9C1		3	2	52	3.8%	No
CMKLR1		1	1	52	1.9%	No
GAD1		1	1	52	1.9%	No
ANKRD26		1	1	52	1.9%	No
HEATR5B		2	2	52	3.8%	No
HNF1A		1	1	52	1.9%	Yes
GABRP		1	1	52	1.9%	No
TMX3		1	1	52	1.9%	No
CCR7		1	1	52	1.9%	No
GABRG3		1	1	52	1.9%	No
TCF3		1	1	52	1.9%	Yes
HECW2		2	2	52	3.8%	No
THEMIS		1	1	52	1.9%	No
RPTOR		1	1	52	1.9%	Yes
KTN1		1	1	52	1.9%	Yes
AFF3		1	1	52	1.9%	Yes
RTL9		2	2	52	3.8%	No
TCF4		3	3	52	5.8%	No
FASTKD2		1	1	52	1.9%	No
ZNF805		1	1	52	1.9%	No
FNDC3A		1	1	52	1.9%	No
CCDC82		1	1	52	1.9%	No
R3HDM2		1	1	52	1.9%	No
LRRC31		1	1	52	1.9%	No
FAM214A		3	3	52	5.8%	No
ELAPOR1		1	1	52	1.9%	No
SUGCT		1	1	52	1.9%	No
NUFIP2		1	1	52	1.9%	No
MAPK10		1	1	52	1.9%	No
BPIFB1		1	1	52	1.9%	No
ZEB1		1	1	52	1.9%	No
WDR35		1	1	52	1.9%	No
ZNRF2		1	1	52	1.9%	No
NPFFR2		2	1	52	1.9%	No
WDR3		2	2	52	3.8%	No
ZNF652		1	1	52	1.9%	No
HYLS1		1	1	52	1.9%	No
ARHGAP36		1	1	52	1.9%	No
ACBD5		1	1	52	1.9%	No
COBLL1		1	1	52	1.9%	No
CNN1		1	1	52	1.9%	No
WDR17		2	2	52	3.8%	No
CNGA3		1	1	52	1.9%	No
DISP3		1	1	52	1.9%	No
PRLR		1	1	52	1.9%	No
CC2D2A		2	2	52	3.8%	No
ZNF624		1	1	52	1.9%	No
RUVBL2		1	1	52	1.9%	No
TCF20		3	3	52	5.8%	No
DNAJC3		1	1	52	1.9%	No
TCF21		1	1	52	1.9%	No
DOLK		1	1	52	1.9%	No
ZNF507		1	1	52	1.9%	No
CPEB3		1	1	52	1.9%	No
TRBV20OR9-2		1	1	52	1.9%	No
NRROS		1	1	52	1.9%	No
CANT1		1	1	52	1.9%	Yes
CNTFR		1	1	52	1.9%	No
DNHD1		1	1	52	1.9%	No
USP35		1	1	52	1.9%	No
MICAL3		1	1	52	1.9%	No
LRRC7		1	1	52	1.9%	No
HRNR		1	1	52	1.9%	No
CMIP		1	1	52	1.9%	No
WDR27		1	1	52	1.9%	No
GLYCTK		1	1	52	1.9%	No
COL4A4		1	1	52	1.9%	No
COL4A3		2	1	52	1.9%	No
SIPA1L2		1	1	52	1.9%	No
ARHGAP20		1	1	52	1.9%	No
COL1A1		1	1	52	1.9%	Yes
SLC38A10		1	1	52	1.9%	No
AFDN		2	2	52	3.8%	Yes
FOXO4		2	2	52	3.8%	Yes
PRRG1		1	1	52	1.9%	No
PHLDA1		2	2	52	3.8%	No
MTF2		1	1	52	1.9%	No
KCNH7		2	2	52	3.8%	No
IMPG2		2	2	52	3.8%	No
PRSS8		1	1	52	1.9%	Yes
MED12L		1	1	52	1.9%	No
ZNF816		1	1	52	1.9%	No
COL8A1		2	2	52	3.8%	No
COL6A3		2	2	52	3.8%	No
COL6A2		1	1	52	1.9%	No
COL5A2		2	2	52	3.8%	No
RASA3		1	1	52	1.9%	No
FAM135A		1	1	52	1.9%	No
CLEC4D		1	1	52	1.9%	No
COL5A1		1	1	52	1.9%	No
SRCAP		1	1	52	1.9%	No
PCDH10		2	1	52	1.9%	No
COL4A5		1	1	52	1.9%	No
POLR1G		1	1	52	1.9%	No
DAB2IP		1	1	52	1.9%	No
PDE11A		1	1	52	1.9%	No
ALDH1L1		1	1	52	1.9%	No
RELN		3	3	52	5.8%	Yes
PPP1R17		1	1	52	1.9%	No
OR10G8		1	1	52	1.9%	No
SHANK1		1	1	52	1.9%	No
ACCSL		1	1	52	1.9%	No
RPGRIP1L		1	1	52	1.9%	No
SH2B3		1	1	52	1.9%	Yes
MBTPS2		2	2	52	3.8%	No
CDC40		1	1	52	1.9%	No
HOOK1		1	1	52	1.9%	No
ZACN		1	1	52	1.9%	No
GIPC3		1	1	52	1.9%	No
DNAH1		1	1	52	1.9%	No
UBR5		3	3	52	5.8%	Yes
INTS13		1	1	52	1.9%	No
TANK		1	1	52	1.9%	No
TMEM175		1	1	52	1.9%	No
HDAC6		1	1	52	1.9%	No
KANSL1		1	1	52	1.9%	No
PDCD6IP		1	1	52	1.9%	No
HDAC5		1	1	52	1.9%	No
ATF7IP		1	1	52	1.9%	No
N4BP2		2	2	52	3.8%	No
PDCD6		1	1	52	1.9%	No
CBWD5		1	1	52	1.9%	No
ANAPC1		1	1	52	1.9%	No
MOS		1	1	52	1.9%	No
TTC28		1	1	52	1.9%	No
H2AC8		1	1	52	1.9%	No
CGB2		2	2	52	3.8%	No
MFSD12		1	1	52	1.9%	No
SZT2		5	2	52	3.8%	No
WDR7		2	2	52	3.8%	No
IBTK		1	1	52	1.9%	No
JADE2		2	2	52	3.8%	No
H1-5		1	1	52	1.9%	Yes
H1-3		1	1	52	1.9%	Yes
H1-2		1	1	52	1.9%	Yes
FAM222B		1	1	52	1.9%	No
VPS35		1	1	52	1.9%	No
ANGPT4		1	1	52	1.9%	No
TDO2		1	1	52	1.9%	No
ZFP64		1	1	52	1.9%	No
ARFGAP1		1	1	52	1.9%	No
FKBP15		1	1	52	1.9%	No
MPG		1	1	52	1.9%	No
PSMA1		1	1	52	1.9%	No
CTAGE1		1	1	52	1.9%	No
NUDT13		1	1	52	1.9%	No
ADGRA2		1	1	52	1.9%	Yes
VIRMA		1	1	52	1.9%	No
UBR2		2	2	52	3.8%	No
CSAD		1	1	52	1.9%	No
ACSL6		1	1	52	1.9%	Yes
WNT16		1	1	52	1.9%	No
H2BC3		1	1	52	1.9%	No
STK38		1	1	52	1.9%	No
ARSB		2	2	52	3.8%	No
EIF3L		1	1	52	1.9%	No
NLGN3		1	1	52	1.9%	No
IPO4		1	1	52	1.9%	No
H2AZ1		1	1	52	1.9%	No
EDEM2		2	2	52	3.8%	No
ARSL		1	1	52	1.9%	No
MGAT4A		1	1	52	1.9%	No
PSG9		1	1	52	1.9%	No
DNAH11		3	3	52	5.8%	No
B4GALT4		1	1	52	1.9%	No
B3GALNT1		1	1	52	1.9%	No
DDX42		1	1	52	1.9%	No
DNAJC13		2	2	52	3.8%	No
MRE11		1	1	52	1.9%	Yes
NCAPD3		1	1	52	1.9%	No
HADHB		1	1	52	1.9%	No
DMXL2		1	1	52	1.9%	No
TIPARP		1	1	52	1.9%	Yes
SLC9A8		1	1	52	1.9%	No
CUX2		1	1	52	1.9%	No
ARVCF		1	1	52	1.9%	No
SH2B1		1	1	52	1.9%	No
KIR3DL3		1	1	52	1.9%	No
PSMA6		1	1	52	1.9%	No
UGGT2		2	2	52	3.8%	No
KBTBD2		1	1	52	1.9%	No
UTRN		1	1	52	1.9%	No
OR5T3		1	1	52	1.9%	No
TPGS2		1	1	52	1.9%	No
SIN3A		1	1	52	1.9%	No
RBM27		2	2	52	3.8%	No
SNX3		1	1	52	1.9%	No
GBF1		1	1	52	1.9%	No
ADAM19		1	1	52	1.9%	No
KANK2		2	2	52	3.8%	No
AKNA		1	1	52	1.9%	No
VAV2		1	1	52	1.9%	Yes
RWDD3		1	1	52	1.9%	No
OR5M1		1	1	52	1.9%	No
SEC31B		1	1	52	1.9%	No
TSGA10		1	1	52	1.9%	No
RBPJL		1	1	52	1.9%	No
ECD		1	1	52	1.9%	No
ANLN		2	2	52	3.8%	No
ZNF251		1	1	52	1.9%	No
CFAP44		2	2	52	3.8%	No
MYH13		1	1	52	1.9%	No
VARS1		1	1	52	1.9%	No
NEK8		1	1	52	1.9%	No
ARHGEF15		2	2	52	3.8%	No
ZNF521		1	1	52	1.9%	Yes
MYRIP		2	2	52	3.8%	No
BAHD1		1	1	52	1.9%	No
DIS3		1	1	52	1.9%	Yes
ZDHHC5		1	1	52	1.9%	No
CEP164		1	1	52	1.9%	No
RIN2		3	2	52	3.8%	No
CMTR2		1	1	52	1.9%	Yes
TAF7L		1	1	52	1.9%	No
ZNF750		1	1	52	1.9%	Yes
ASB13		1	1	52	1.9%	No
ZBTB1		1	1	52	1.9%	No
VCP		1	1	52	1.9%	No
VDAC2		1	1	52	1.9%	No
DEPDC1B		1	1	52	1.9%	No
NBPF9		1	1	52	1.9%	No
ADAM18		1	1	52	1.9%	No
TTLL6		1	1	52	1.9%	No
C3ORF70		1	1	52	1.9%	No
NCKAP1L		2	2	52	3.8%	No
NSL1		1	1	52	1.9%	No
UPF3A		1	1	52	1.9%	No
VIM		1	1	52	1.9%	No
XIRP1		1	1	52	1.9%	No
SAMHD1		1	1	52	1.9%	Yes
IQCN		1	1	52	1.9%	No
PTPN23		2	2	52	3.8%	No
CFH		2	2	52	3.8%	No
HEXB		1	1	52	1.9%	No
SERPINC1		1	1	52	1.9%	No
ZFHX3		4	3	52	5.8%	Yes
CACNA2D3		1	1	52	1.9%	No
HDLBP		2	2	52	3.8%	No
ETAA1		1	1	52	1.9%	Yes
HGF		1	1	52	1.9%	Yes
VRK2		2	2	52	3.8%	No
ACAD9		1	1	52	1.9%	No
KCTD20		1	1	52	1.9%	No
ATIC		1	1	52	1.9%	Yes
ATM		2	2	52	3.8%	Yes
MTUS2		1	1	52	1.9%	No
ATP1A1		1	1	52	1.9%	Yes
TXNDC2		1	1	52	1.9%	No
KIAA1107		1	1	52	1.9%	No
TCEAL2		1	1	52	1.9%	No
SGO2		1	1	52	1.9%	No
VLDLR		1	1	52	1.9%	No
PLEKHM3		1	1	52	1.9%	No
ZAN		2	2	52	3.8%	No
RGS9		1	1	52	1.9%	No
ATP1A4		1	1	52	1.9%	No
HIVEP1		1	1	52	1.9%	No
ANKS1A		1	1	52	1.9%	No
TMPRSS11E		1	1	52	1.9%	No
IFT81		1	1	52	1.9%	No
LRRC37A3		2	2	52	3.8%	No
CLIP2		1	1	52	1.9%	No
POU6F2		1	1	52	1.9%	No
NSD2		1	1	52	1.9%	Yes
SCEL		1	1	52	1.9%	No
RPL12		1	1	52	1.9%	No
VWA3B		1	1	52	1.9%	No
ADGRL2		1	1	52	1.9%	No
ZNF540		1	1	52	1.9%	No
MGA		1	1	52	1.9%	Yes
CALHM5		1	1	52	1.9%	No
HIVEP3		1	1	52	1.9%	No
PPIP5K2		1	1	52	1.9%	No
C2ORF16		2	2	52	3.8%	No
UBE3B		1	1	52	1.9%	No
ARMCX1		1	1	52	1.9%	No
RPL22		1	1	52	1.9%	Yes
WNT7A		2	2	52	3.8%	No
NUP160		2	2	52	3.8%	No
PPP1R32		1	1	52	1.9%	No
KRTAP6-1		1	1	52	1.9%	No
CAMSAP2		1	1	52	1.9%	No
CLEC16A		2	1	52	1.9%	No
TLR8		3	3	52	5.8%	No
TMIGD2		1	1	52	1.9%	No
WRN		1	1	52	1.9%	Yes
ANKRD30B		2	2	52	3.8%	No
XPOT		1	1	52	1.9%	No
ANKRD28		1	1	52	1.9%	No
PDS5A		1	1	52	1.9%	No
CACNG6		1	1	52	1.9%	No
WAC		1	1	52	1.9%	No
PSD2		1	1	52	1.9%	No
SPG21		1	1	52	1.9%	No
ZDHHC18		1	1	52	1.9%	No
ZCCHC9		1	1	52	1.9%	No
XBP1		1	1	52	1.9%	Yes
EBF2		1	1	52	1.9%	No
WDR64		1	1	52	1.9%	No
XDH		1	1	52	1.9%	No
MTCL1		2	2	52	3.8%	No
STK33		1	1	52	1.9%	No
OSR2		1	1	52	1.9%	No
DENND5A		1	1	52	1.9%	No
ATP13A4		1	1	52	1.9%	No
ANKRD12		2	2	52	3.8%	No
KLHL2		1	1	52	1.9%	No
DCLK1		1	1	52	1.9%	No
ARHGEF9		1	1	52	1.9%	No
ZMYM4		1	1	52	1.9%	No
ZMYM3		3	3	52	5.8%	Yes
AACS		1	1	52	1.9%	No
ZMYM6		1	1	52	1.9%	No
SYNE2		5	4	52	7.7%	No
POLR1A		1	1	52	1.9%	No
ZNF473		1	1	52	1.9%	No
NLRP11		2	2	52	3.8%	No
CRNKL1		2	2	52	3.8%	No
ADGRF5		1	1	52	1.9%	No
POLR3GL		1	1	52	1.9%	No
MAGEE2		1	1	52	1.9%	No
NECAP2		1	1	52	1.9%	No
BMP15		1	1	52	1.9%	No
LGI1		1	1	52	1.9%	No
TBC1D12		1	1	52	1.9%	No
CCDC83		1	1	52	1.9%	No
PLCB1		1	1	52	1.9%	No
LAIR1		1	1	52	1.9%	No
FAR2		1	1	52	1.9%	No
LAMA2		1	1	52	1.9%	No
VPS13A		2	1	52	1.9%	No
SEL1L3		1	1	52	1.9%	No
SLC6A14		1	1	52	1.9%	No
ZNF334		1	1	52	1.9%	No
FLYWCH1		1	1	52	1.9%	Yes
LRRFIP1		1	1	52	1.9%	No
POLR3E		1	1	52	1.9%	No
RPS6KA3		1	1	52	1.9%	No
RPS6KA2		1	1	52	1.9%	No
DLGAP2		1	1	52	1.9%	No
PCDHB6		1	1	52	1.9%	No
WASF3		1	1	52	1.9%	No
PCDHA11		3	2	52	3.8%	No
LAMC1		1	1	52	1.9%	No
PCDHA10		1	1	52	1.9%	No
PCDHAC1		1	1	52	1.9%	No
DNTTIP1		1	1	52	1.9%	No
LRR1		1	1	52	1.9%	No
LAMA4		1	1	52	1.9%	No
NOL6		1	1	52	1.9%	No
LAMA5		1	1	52	1.9%	No
LAMB1		1	1	52	1.9%	No
TAS2R8		2	2	52	3.8%	No
XRN2		1	1	52	1.9%	No
TBRG4		1	1	52	1.9%	No
ITCH		1	1	52	1.9%	No
ZNF829		1	1	52	1.9%	No
LRRC47		1	1	52	1.9%	No
TMEM169		1	1	52	1.9%	No
PLEKHH1		1	1	52	1.9%	No
NEU3		1	1	52	1.9%	No
PCDHA3		1	1	52	1.9%	No
PCDHA2		1	1	52	1.9%	No
MOSPD2		1	1	52	1.9%	No
GCM2		1	1	52	1.9%	No
ZNF502		1	1	52	1.9%	No
KIAA1210		1	1	52	1.9%	No
LCP1		1	1	52	1.9%	Yes
LCT		1	1	52	1.9%	No
ANKRD31		1	1	52	1.9%	No
VILL		1	1	52	1.9%	No
CACNA2D2		2	2	52	3.8%	No
NKX2-6		1	1	52	1.9%	No
OR2AT4		1	1	52	1.9%	No
HEG1		1	1	52	1.9%	No
RNF17		5	1	52	1.9%	No
STK31		1	1	52	1.9%	No
MRTFB		2	2	52	3.8%	No
ARID1B		1	1	52	1.9%	Yes
SEC24A		1	1	52	1.9%	No
SDCCAG8		1	1	52	1.9%	No
SPTY2D1		1	1	52	1.9%	No
STK17A		1	1	52	1.9%	No
MAPKAPK2		1	1	52	1.9%	No
DNAH7		2	1	52	1.9%	No
STK17B		2	2	52	3.8%	No
GATA3	2.120e-12	4	4	52	7.7%	Yes
KCNK16		1	1	52	1.9%	No
DZIP1L		1	1	52	1.9%	No
LEPR		1	1	52	1.9%	No
LETM1		1	1	52	1.9%	No
DUOX1		1	1	52	1.9%	No
CFAP206		1	1	52	1.9%	No
GBE1		2	2	52	3.8%	No
COL17A1		1	1	52	1.9%	No
RAB24		1	1	52	1.9%	No
LIG3		1	1	52	1.9%	No
MED14		1	1	52	1.9%	No
KLF6		1	1	52	1.9%	Yes
GCKR		1	1	52	1.9%	No
COPA		1	1	52	1.9%	No
GBP7		1	1	52	1.9%	No
COL19A1		2	1	52	1.9%	No
GPR52		2	2	52	3.8%	No
GPR55		1	1	52	1.9%	No
FAT3		1	1	52	1.9%	No
PRTG		1	1	52	1.9%	No
CNBD1		1	1	52	1.9%	No
LIMK1		1	1	52	1.9%	No
LIMCH1		2	1	52	1.9%	No
RIMS1		1	1	52	1.9%	No
PCNX1		1	1	52	1.9%	No
ZSWIM4		2	2	52	3.8%	No
KDM2A		2	2	52	3.8%	No
RIN3		1	1	52	1.9%	No
MCMBP		2	2	52	3.8%	No
L1TD1		1	1	52	1.9%	No
PRR5L		1	1	52	1.9%	No
IL31RA		1	1	52	1.9%	No
FAM227B		1	1	52	1.9%	No
DPP10		1	1	52	1.9%	No
CCR2		1	1	52	1.9%	No
COL23A1		1	1	52	1.9%	No
DACT2		1	1	52	1.9%	No
LRRN1		3	3	52	5.8%	No
GFRA3		1	1	52	1.9%	No
GFRA2		2	2	52	3.8%	No
LRCH2		1	1	52	1.9%	No
KRBOX5		1	1	52	1.9%	No
CPLANE1		3	2	52	3.8%	No
WNK4		1	1	52	1.9%	No
C8ORF33		1	1	52	1.9%	No
CPD		1	1	52	1.9%	No
SLC27A5		1	1	52	1.9%	No
MYH7B		1	1	52	1.9%	No
CPA2		1	1	52	1.9%	No
GH2		1	1	52	1.9%	No
CPA1		1	1	52	1.9%	No
SLC27A4		1	1	52	1.9%	No
HDAC10		1	1	52	1.9%	No
LILRB5		1	1	52	1.9%	No
PSMD8		1	1	52	1.9%	No
MYH15		2	2	52	3.8%	No
CRIPAK		3	2	52	3.8%	No
PTGDS		1	1	52	1.9%	No
NINL		1	1	52	1.9%	No
MAST1		2	2	52	3.8%	No
PDCD11		1	1	52	1.9%	Yes
ACIN1		2	2	52	3.8%	No
PTEN	2.720e-12	2	2	52	3.8%	Yes
RGPD1		1	1	52	1.9%	No
CALCOCO1		1	1	52	1.9%	No
OR4N4		1	1	52	1.9%	No
PTCH1		1	1	52	1.9%	Yes
MTRFR		1	1	52	1.9%	No
CDCA2		2	2	52	3.8%	No
PHRF1		1	1	52	1.9%	No
LRG1		1	1	52	1.9%	No
CR2		2	2	52	3.8%	No
TMCO3		1	1	52	1.9%	No
EPB41L5		1	1	52	1.9%	No
CR1		1	1	52	1.9%	No
CAMSAP3		2	2	52	3.8%	No
USP29		1	1	52	1.9%	No
CPT2		2	2	52	3.8%	No
RMND1		1	1	52	1.9%	No
PLEKHA4		1	1	52	1.9%	No
LINC01599		1	1	52	1.9%	No
CST9L		1	1	52	1.9%	No
TMED10		1	1	52	1.9%	No
PTGFRN		1	1	52	1.9%	No
ASCC3		2	2	52	3.8%	No
RAB19		1	1	52	1.9%	No
ZNF689		1	1	52	1.9%	No
ZNF551		1	1	52	1.9%	No
CRHR1		1	1	52	1.9%	No
PARPBP		1	1	52	1.9%	No
TSSK1B		1	1	52	1.9%	No
PPP2R3C		3	2	52	3.8%	No
PIH1D1		1	1	52	1.9%	No
RNF213		2	2	52	3.8%	Yes
CABP5		1	1	52	1.9%	No
PTGS1		1	1	52	1.9%	No
SNW1		2	2	52	3.8%	No
ZDBF2		1	1	52	1.9%	No
OS9		1	1	52	1.9%	No
SLCO1B3		1	1	52	1.9%	No
ZNF445		1	1	52	1.9%	No
FAM13C		1	1	52	1.9%	No
PTPN2		1	1	52	1.9%	Yes
CCT5		1	1	52	1.9%	No
DEUP1		1	1	52	1.9%	No
KIAA1586		1	1	52	1.9%	No
TOM1L2		1	1	52	1.9%	No
MAGEE1		1	1	52	1.9%	No
OOSP2		1	1	52	1.9%	No
ANKAR		1	1	52	1.9%	No
TNRC6C		2	2	52	3.8%	No
SLC4A11		1	1	52	1.9%	No
HLA-C		2	2	52	3.8%	Yes
USP37		1	1	52	1.9%	No
CCDC88C		1	1	52	1.9%	No
ZBTB48		1	1	52	1.9%	No
TRMT12		1	1	52	1.9%	No
FANCM		2	2	52	3.8%	No
PTCD3		1	1	52	1.9%	No
SHTN1		1	1	52	1.9%	No
UNC5A		1	1	52	1.9%	No
ERP29		1	1	52	1.9%	No
LMAN2		1	1	52	1.9%	No
MSH5		1	1	52	1.9%	No
PTPN9		1	1	52	1.9%	No
CEP85		1	1	52	1.9%	No
RMND5A		1	1	52	1.9%	No
HLA-DQB1		1	1	52	1.9%	No
IL1RL2		1	1	52	1.9%	No
HMGCLL1		1	1	52	1.9%	No
NLRP8		2	2	52	3.8%	No
PCDH18		2	2	52	3.8%	No
OTP		1	1	52	1.9%	No
SLTM		1	1	52	1.9%	No
GJB4		1	1	52	1.9%	No
DDX4		1	1	52	1.9%	Yes
TLE6		2	2	52	3.8%	No
KANK3		1	1	52	1.9%	No
TRIM24		1	1	52	1.9%	Yes
PTPRF		1	1	52	1.9%	No
PTPRG		1	1	52	1.9%	No
PTPRJ		1	1	52	1.9%	No
SPOUT1		1	1	52	1.9%	No
HACD3		1	1	52	1.9%	No
SH3D19		1	1	52	1.9%	No
TEX2		1	1	52	1.9%	No
SF3B1	2.120e-12	1	1	52	1.9%	Yes
LEO1		1	1	52	1.9%	No
DPM1		1	1	52	1.9%	No
PTPRB		1	1	52	1.9%	Yes
AKAP9		2	2	52	3.8%	No
PTPRD		1	1	52	1.9%	Yes
FAM13A		1	1	52	1.9%	No
ADGRG2		1	1	52	1.9%	No
NOMO1		1	1	52	1.9%	No
MROH2A		2	1	52	1.9%	No
NIPAL1		1	1	52	1.9%	No
ENAM		1	1	52	1.9%	No
QSER1		3	2	52	3.8%	No
USP53		1	1	52	1.9%	No
ECHDC1		1	1	52	1.9%	No
PTPRM		1	1	52	1.9%	No
ROBO4		1	1	52	1.9%	No
LONRF3		1	1	52	1.9%	No
SHLD2		1	1	52	1.9%	No
ATP7A		1	1	52	1.9%	No
EXOC6		1	1	52	1.9%	No
RAD50		1	1	52	1.9%	Yes
NRP1		2	1	52	1.9%	No
CCDC102B		1	1	52	1.9%	No
PROM1		1	1	52	1.9%	No
HMGCR		1	1	52	1.9%	No
AP4E1		1	1	52	1.9%	No
TARDBP		1	1	52	1.9%	No
HMGN1		1	1	52	1.9%	No
FRY		1	1	52	1.9%	No
DDIT4		1	1	52	1.9%	No
LRPPRC		1	1	52	1.9%	No
ASH1L		3	2	52	3.8%	No
HMGB3		1	1	52	1.9%	No
ATR		1	1	52	1.9%	Yes
ATRX		2	2	52	3.8%	Yes
RC3H2		1	1	52	1.9%	No
XPC		1	1	52	1.9%	Yes
ZNF286B		1	1	52	1.9%	No
CDK5R1		1	1	52	1.9%	No
TDRD6		1	1	52	1.9%	No
NOTUM		1	1	52	1.9%	No
AXL		1	1	52	1.9%	Yes
KSR1		1	1	52	1.9%	No
XRCC4		2	2	52	3.8%	No
TSC22D1		1	1	52	1.9%	No
YWHAG		1	1	52	1.9%	No
TRIM10		2	2	52	3.8%	No
LENEP		1	1	52	1.9%	No
LINC02905		1	1	52	1.9%	No
B2M		1	1	52	1.9%	Yes
FCGBP		3	3	52	5.8%	No
NR1I2		1	1	52	1.9%	No
CSPP1		2	1	52	1.9%	No
STK19		3	2	52	3.8%	Yes
CDC123		1	1	52	1.9%	No
VNN2		1	1	52	1.9%	No
ZIC1		1	1	52	1.9%	No
ARHGEF7		2	2	52	3.8%	No
LNPK		1	1	52	1.9%	No
